,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.47291692412327707,-0.3311801040043269,-0.5356303195016634,-0.4262149249485622,-0.38858913721689264
Standard error of final returns,0.38883758736326945,0.4739352669415138,0.3355773815498899,0.40027539639701043,0.528012057370706
95% VaR,-0.8627803427046445,-0.8164836197532737,-0.8803165395794019,-0.8604895472584793,-0.9163641565361641
95% ES,-0.8902244374208227,-0.8464140513051213,-0.9017798082473361,-0.8924422151241233,-0.9293786917448189
Days of positive return (%),0.49627358490566015,0.49330439705604817,0.48811060777651927,0.4977175759864075,0.4963670694864051
