,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,1.9912022936072031,8.50747253036182,1.8761431241496975,0.3844091095954261,1.575365491367835
Standard error of final returns,10.21795692562577,21.00308435427613,5.317287625658181,3.1959386653852677,4.747038820591669
95% VaR,-0.9753206309002892,-0.9233316402961558,-0.9804889010228173,-0.9874555653599058,-0.9862898928849907
95% ES,-0.986680519663218,-0.9504668745647861,-0.9879613962854263,-0.9904708266624965,-0.9918340486235
Days of positive return (%),0.5053554767680536,0.5074580067189249,0.5053929438118349,0.5039656460044812,0.5037385620915033
