,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,3.1406480004430937,7.082274694849201,4.754631219799458,7.200443767341701,2.1347169226141105
Standard error of final returns,7.112990649242834,26.786474680768126,19.544211834570955,40.93706970253719,5.237576453004685
95% VaR,-0.9200797186561976,-0.9006467475680349,-0.9520311337345478,-0.9471826712702449,-0.9799452914097228
95% ES,-0.9377697477438138,-0.9256634309703988,-0.967253623855922,-0.9589964448220162,-0.9891758263912672
Days of positive return (%),0.5090744541892146,0.5081690929451289,0.507913011013627,0.5076008215085885,0.5089747899159665
