,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.8345035429584533,-0.3336270687777044,-0.8567073237730143,-0.6703072647612892,-0.3076296421494193
Standard error of final returns,0.395110654140537,4.215504866015998,0.5920797802585865,1.018895425998158,3.236312690589418
95% VaR,-0.9998520435529376,-0.9999343820607078,-0.9999323422101144,-0.9999210499359733,-0.9999049026372304
95% ES,-0.9999336010211326,-0.9999647256776022,-0.9999591575225603,-0.9999573128754846,-0.999960679393061
Days of positive return (%),0.4946855670103094,0.49189481825212683,0.4964853017019082,0.494686613360846,0.49437306501547995
