,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.7477768441682342,-0.4547395562446951,-0.6739561632638669,-0.37977652817706953,-0.6557594704821724
Standard error of final returns,1.0518091582165856,2.4066906719848813,1.1197109111955166,2.3754183903484956,1.2887952609874962
95% VaR,-0.9999626578749898,-0.9999041672688844,-0.999936400481437,-0.9998527453014547,-0.9999297038195901
95% ES,-0.9999860313022882,-0.9999540217442645,-0.9999570907258409,-0.9999076244981909,-0.9999645894154666
Days of positive return (%),0.4930103092783505,0.49308842485176596,0.49629448169159346,0.4934304874903276,0.4928095975232198
