,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.6952554150237258,-0.30928423186511184,-0.2271389551452251,-0.616678857176562,-0.3872057556781215
Standard error of final returns,0.6336686763925665,2.2765855118494205,2.0394557903077115,0.9142589750295043,1.2334163048783682
95% VaR,-0.9966483487796075,-0.9921963698067453,-0.9919284454772774,-0.9975820118266039,-0.9972604357307407
95% ES,-0.9977826871700228,-0.9952207075432424,-0.9968177728497274,-0.9988823125851607,-0.9987125909023084
Days of positive return (%),0.4973969072164949,0.49910028357824177,0.4974265085095409,0.497830797007996,0.4987667698658413
