,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.3073742516796601,-0.49308231080159176,-0.8136368483706068,-0.47544446778053606,-0.46894481560714957
Standard error of final returns,2.3063476293846623,1.900000303602657,0.39806023692578935,2.376543870836536,1.372303146225634
95% VaR,-0.9997303816326858,-0.9998175069004684,-0.9994136350265663,-0.999572674248918,-0.9997822876238843
95% ES,-0.9998507818639529,-0.9999005431582461,-0.9997585760010171,-0.9998577654179485,-0.9998732816294129
Days of positive return (%),0.49533505154639174,0.49296725960299037,0.49915678184631235,0.49537529017281395,0.49363777089783284
