,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.377492792346456,-0.2776157706435526,-0.3508348637477189,-0.4420370697259887,-0.37893191265555837
Standard error of final returns,0.49223963023870404,0.5846498525298665,0.48309794512512505,0.4662366482440371,0.40871527907694954
95% VaR,-0.8476547707584803,-0.8413763943767444,-0.8573187277553895,-0.8739090652333443,-0.8296234505442809
95% ES,-0.8744082560427715,-0.8613030044440606,-0.8728484792776123,-0.8912727209492821,-0.8726514061960225
Days of positive return (%),0.4971490566037734,0.4969277222117379,0.4983389958474894,0.49663960732490103,0.4984459969788519
