,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,0.1571740027338902,-0.2997455240824629,-0.6113651254895575,-0.23013722543584525,-0.09284957224360407
Standard error of final returns,4.529399953650681,1.8657017087832284,0.9947494599559573,2.7369100645571556,2.9640407856309294
95% VaR,-0.9993816667613983,-0.9977679822278314,-0.9989343513133327,-0.9988903697620053,-0.9994973894659199
95% ES,-0.9995877827355345,-0.9989186191294512,-0.9995741785005343,-0.9995258449754901,-0.9997060259089636
Days of positive return (%),0.49441237113402076,0.49602732663057497,0.4952269210933469,0.49525664173329886,0.4953018575851393
