,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,7.0499013784269975,6.586129546444957,3.4722430175666568,7.161120607698803,7.246907410940724
Standard error of final returns,15.968350667971233,10.736695915543685,10.39995055402566,16.65653120274761,21.433693352146893
95% VaR,-0.7659380779511357,-0.7635669165949923,-0.9295484904310564,-0.9689179960891392,-0.8996573689389589
95% ES,-0.8394810009893628,-0.8192804102251733,-0.9616159277542972,-0.9742713802147611,-0.938466758819855
Days of positive return (%),0.5109684642657213,0.5110768943635684,0.5099253313421693,0.510539581777446,0.5100298786181141
