,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.37875813774791794,-0.431418435577169,-0.43539923993062424,-0.4093555674639803,-0.2866310418593432
Standard error of final returns,0.43181091700827823,0.46109647222745137,0.39997876482663286,0.4677280671240811,0.5347097272965012
95% VaR,-0.8755286780823439,-0.8124829161612538,-0.9124989154296661,-0.8781384901689815,-0.8095834917815548
95% ES,-0.8901094927891693,-0.8453641617097581,-0.9243858380743148,-0.8886622690712779,-0.8373795273194824
Days of positive return (%),0.5017924528301886,0.5025212304208343,0.5012004530011324,0.5021276194072118,0.504546827794562
