,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,9.682387322031655,5.734899288917253,7.694746778582279,7.509935963165389,4.200815493470581
Standard error of final returns,33.135372095370904,13.948685969760172,25.71420090011056,15.989525474782909,10.512892719012894
95% VaR,-0.973212857615668,-0.9312563320012286,-0.8573221268709461,-0.9357387327576061,-0.8755455726953605
95% ES,-0.9815780773900832,-0.9446829101273266,-0.9128615293723064,-0.9620878184014188,-0.9198837717364317
Days of positive return (%),0.5102108602351186,0.5094270250093318,0.5108008213552363,0.5095537714712471,0.5095873015873015
