,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,2.8838685917137616,3.2693960148760084,3.388098059302615,0.695629272920213,0.5849336296163676
Standard error of final returns,11.092236614750647,15.910003305921455,10.087771059937314,3.8710034816728984,3.1052408197371557
95% VaR,-0.9867872082302543,-0.9453815230515228,-0.9893324632606493,-0.9818971826432792,-0.9874963317715151
95% ES,-0.9925370573223411,-0.9773028910997692,-0.9901328299154578,-0.9859720069106549,-0.9922793614085583
Days of positive return (%),0.5055644709833925,0.5063456513624487,0.5057625536680979,0.5043147871545929,0.5041475256769374
