,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.5630222275886445,-0.35051748415095973,-0.39336770021509226,-0.4502825031213955,-0.4167126008479066
Standard error of final returns,0.35833806082906977,0.6028055356183681,0.5383034693826422,0.4854074689343505,0.48760812650144664
95% VaR,-0.8949730778145167,-0.8738963310383702,-0.8911196739510207,-0.8962146288557908,-0.8706785057238088
95% ES,-0.9096773886677717,-0.8970970881021358,-0.9066658133384993,-0.9232491261544077,-0.8957134071982441
Days of positive return (%),0.4907433962264151,0.4950669937724099,0.4943903359758399,0.49207664715876925,0.4954739425981874
