,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.36720359811368397,-0.380816363812163,-0.3715744923355514,-0.39594898845365734,-0.27164616601027575
Standard error of final returns,0.564468282675573,0.537932621379473,0.469440028238619,0.4563259688882225,0.6977681931641339
95% VaR,-0.8955147104654289,-0.859110591496467,-0.8692204648630639,-0.861827265517155,-0.8567189570361458
95% ES,-0.9137270368439543,-0.8920030414911642,-0.8797766137216471,-0.8794490564807145,-0.877109181948542
Days of positive return (%),0.5017641509433962,0.5029364030949237,0.5021026802567005,0.5019293939966019,0.503478096676737
