,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.5368377423120786,-0.29976300179409227,-0.34642315861452816,-0.33268174550990465,-0.42699083535968063
Standard error of final returns,0.8349667474626256,1.3930526665111111,2.4810517283465265,2.1847972573895955,0.9438187600915058
95% VaR,-0.993893919664079,-0.9953411596486441,-0.9939652253094846,-0.998380769214361,-0.9949793503235671
95% ES,-0.9959062329818653,-0.9973171801518228,-0.9967184625326693,-0.9989939103055233,-0.9965906521442618
Days of positive return (%),0.49886855670103103,0.4990745037380768,0.4989994842702425,0.49895795718338914,0.4995020639834882
