,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,12.354144292818402,4.695918854658656,9.027220094256656,8.180081326482972,5.2102869131484795
Standard error of final returns,47.36072300066478,10.638655185149544,20.342708198744482,26.59240882578574,13.213383877660988
95% VaR,-0.8341787252866216,-0.9485663427406221,-0.9334391515500016,-0.8784099442422713,-0.9677943111244247
95% ES,-0.8839825018878221,-0.9659065978308952,-0.9540430513406518,-0.9439460244842939,-0.9731707716423706
Days of positive return (%),0.5107221496547861,0.5093747667039942,0.5098506626843384,0.5098450336071694,0.5106629318394024
