,K = 1,K = 2,K = 3,K = 4,K = 5
Mean of final returns,-0.38623855484156067,-0.0662004101863544,-0.8022574601983095,-0.5106848078381254,-0.44155683676677
Standard error of final returns,2.1809764152480815,3.025779165157473,0.5699904619958621,1.2566810359472136,1.0615810544543192
95% VaR,-0.9992438055280587,-0.9998463336152591,-0.9990804869737093,-0.9990015720012845,-0.9990814224730659
95% ES,-0.9996128067806959,-0.9998973907479349,-0.9993876559580755,-0.9996410432824037,-0.9994489155450932
Days of positive return (%),0.4958144329896906,0.4934080948698119,0.4988138215575038,0.49635027082795974,0.49514705882352944
